,symbol,organ_name,en_organ_name,icb_name3,en_icb_name3,icb_name2,en_icb_name2,icb_name4,en_icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
710,BAB,Ngân hàng Thương mại Cổ phần Bắc Á,Bac A Commercial Joint Stock Bank,Ngân hàng,Banks,Ngân hàng,Banks,Ngân hàng,Banks,NH,8301,8300,8350,8355
711,NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài,Noibai Airport Services Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,CT,2000,2700,2770,2777
712,NAV,Công ty Cổ phần Nam Việt,Nam Viet Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Vật liệu xây dựng & Nội thất,Building Materials & Fixtures,CT,2000,2300,2350,2353
713,VET,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,NAVETCO National Veterinary Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,CT,1000,1300,1350,1357
714,NAW,Công ty Cổ phần Cấp nước Nghệ An,Nghe An Water Supply Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
715,MRF,Công ty Cổ phần MERUFA,MERUFA Joint Stock Company,Thiết bị và Dịch vụ Y tế,Health Care Equipment & Services,Y tế,Health Care,Thiết bị y tế,Medical Equipment,CT,4000,4500,4530,4535
716,NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,577 Investment Corporation,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,Bất động sản,Real Estate Holding & Development,CT,8000,8600,8630,8633
717,NBC,Công ty Cổ phần Than Núi Béo - Vinacomin,Vinacomin NuiBeo Coal Joint Stock Company,Khai khoáng,Mining,Tài nguyên Cơ bản,Basic Resources,Khai thác Than,Coal,CT,1000,1700,1770,1771
718,NBE,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Bắc,North Books and Educational Equipment Joint Stock Company,Truyền thông,Media,Truyền thông,Media,"Sách, ấn bản & sản phẩm văn hóa",Publishing,CT,5000,5500,5550,5557
719,NBP,Công ty Cổ phần Nhiệt Điện Ninh Bình,Ninh Binh Thermal Power Joint-Stock Company,Sản xuất & Phân phối Điện,Electricity,"Điện, nước & xăng dầu khí đốt",Utilities,Sản xuất & Phân phối Điện,Conventional Electricity,CT,7000,7500,7530,7535
720,FCM,Công ty Cổ phần Khoáng sản FECON,FECON Mining Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Vật liệu xây dựng & Nội thất,Building Materials & Fixtures,CT,2000,2300,2350,2353
721,NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Noibai Cargo Terminal Services Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,CT,2000,2700,2770,2777
722,MND,Công ty Cổ phần Môi trường Nam Định,Nam Dinh Environment Joint Stock Company,Tư vấn & Hỗ trợ Kinh doanh,Support Services,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Chất thải & Môi trường,Waste & Disposal Services,CT,2000,2700,2790,2799
723,HND,Công ty Cổ phần Nhiệt điện Hải Phòng,Hai Phong Thermal power Joint Stock Company,Sản xuất & Phân phối Điện,Electricity,"Điện, nước & xăng dầu khí đốt",Utilities,Sản xuất & Phân phối Điện,Conventional Electricity,CT,7000,7500,7530,7535
724,KSV,Tổng Công ty Khoáng sản TKV - Công ty Cổ phần,Vinacomin - Minerals Holding Corporation,Khai khoáng,Mining,Tài nguyên Cơ bản,Basic Resources,Khai khoáng,General Mining,CT,1000,1700,1770,1775
725,HNG,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Hoang Anh Gia Lai Agricultural Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Nuôi trồng nông & hải sản,Farming & Fishing,CT,3000,3500,3570,3573
726,HNM,Công ty Cổ phần Sữa Hà Nội,Ha Noi Milk Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Thực phẩm,Food Products,CT,3000,3500,3570,3577
727,HTP,Công ty Cổ phần In Sách Giáo Khoa Hòa Phát,Hoa Phat Textbook Book Joint Stock Company,Truyền thông,Media,Truyền thông,Media,"Sách, ấn bản & sản phẩm văn hóa",Publishing,CT,5000,5500,5550,5557
728,NDN,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,Danang Housing Investment Development Joint Stock Company,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,Bất động sản,Real Estate Holding & Development,CT,8000,8600,8630,8633
729,NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Danang Housing Development Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Vật liệu xây dựng & Nội thất,Building Materials & Fixtures,CT,2000,2300,2350,2353
730,NED,Công ty Cổ phần Đầu tư và Phát triển Điện Tây Bắc,North - West Electric Investment and Development Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
731,NEM,Công ty Cổ phần Thiết bị Điện Miền Bắc,Northern Electric Equipment Joint Stock Company,Điện tử & Thiết bị điện,Electronic & Electrical Equipment,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,Thiết bị điện,Electronic Equipment,CT,2000,2700,2730,2737
732,NRC,Công ty Cổ phần Tập đoàn Danh Khôi,Danh Khoi Group Joint Stock Company,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,Bất động sản,Real Estate Holding & Development,CT,8000,8600,8630,8633
733,DXP,Công ty Cổ phần Cảng Đoạn Xá,Doan Xa Port Joint Stock Company,Vận tải,Industrial Transportation,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,"Kho bãi, hậu cần và bảo dưỡng",Transportation Services,CT,2000,2700,2770,2777
734,HLA,Công ty Cổ phần Hữu Liên Á Châu,Asia Huu Lien Joint Stock Company,Kim loại,Industrial Metals & Mining,Tài nguyên Cơ bản,Basic Resources,Thép và sản phẩm thép,Steel,CT,1000,1700,1750,1757
735,HU4,Công ty Cổ phần Đầu tư và Xây dựng HUD4,HUD4 Investment and Construction Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
736,NFC,Công ty Cổ phần Phân lân Ninh Bình,Ninh Binh Phosphate Fertilizer Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,CT,1000,1300,1350,1357
737,NGC,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Ngô Quyền,Ngo Quyen Processing Export Joint Stock Company,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Nuôi trồng nông & hải sản,Farming & Fishing,CT,3000,3500,3570,3573
738,MNB,Tổng Công ty May Nhà Bè - Công ty Cổ phần,Nha Be Garment Corporation - Joint Stock Company,Hàng cá nhân,Personal Goods,Hàng cá nhân & Gia dụng,Personal & Household Goods,Hàng May mặc,Clothing & Accessories,CT,3000,3700,3760,3763
739,VCE,Công ty Cổ phần Xây lắp Môi trường,Construction Environment Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
740,NHH,Công ty Cổ phần Nhựa Hà Nội,HaNoi Plastics Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Nhựa, cao su & sợi",Commodity Chemicals,CT,1000,1300,1350,1353
741,BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Binh Son Refining and Petrochemical Joint Stock Company,Sản xuất Dầu khí,Oil & Gas Producers,Dầu khí,Oil & Gas,Sản xuất và Khai thác dầu khí,Exploration & Production,CT,0001,0500,0530,0533
742,EFI,Công ty Cổ phần Đầu tư Tài chính Giáo dục,Education Financial Investment Joint Stock Company,Bất động sản,Real Estate Investment & Services,Bất động sản,Real Estate,Bất động sản,Real Estate Holding & Development,CT,8000,8600,8630,8633
743,HDP,Công ty Cổ phần Dược Hà Tĩnh,HaTinh Pharmaceutical Joint Stock Company,Dược phẩm,Pharmaceuticals & Biotechnology,Y tế,Health Care,Dược phẩm,Pharmaceuticals,CT,4000,4500,4570,4577
744,HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ho Chi Minh City Development Joint Stock Commercial Bank,Ngân hàng,Banks,Ngân hàng,Banks,Ngân hàng,Banks,NH,8301,8300,8350,8355
