,symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
86,VNI,8425689,STOCK,UPCOM,Vietnam Land Investment Corporation,Vietnam Land Investment,ĐT BĐS Việt Nam,Công ty Cổ phần Đầu tư Bất động sản Việt Nam
87,VNH,8425235,STOCK,UPCOM,Viet Viet Nhat Investment Corporation,Viet Viet Nhat Investment,Đầu tư Việt Việt Nhật,Công ty Cổ phần Đầu tư Việt Việt Nhật
88,VNG122002,11410215,BOND,BOND,VNG122002 - Bond,VNG122002 - Bond,VNG122002 - Trái phiếu,VNG122002 - Trái phiếu
89,VNG,8424633,STOCK,HSX,Thanh Thanh Cong Tourism Joint Stock Company,Thanh Thanh Cong Tourism,DL Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công
90,VNF,8425580,STOCK,HNX,Vinafreight Joint Stock Company,VINAFREIGHT,VINAFREIGHT,Công ty Cổ phần Vinafreight
91,VNE,8424456,STOCK,HSX,Vietnam Electricity Construction Joint Stock Corporation,Vietnam Electricity Construction,Xây dựng điện Việt Nam,Tổng Công ty Cổ phần Xây dựng điện Việt Nam
92,VND122014,11410669,BOND,BOND,VND122014 - Bond,VND122014 - Bond,VND122014 - Trái phiếu,VND122014 - Trái phiếu
93,VND122013,11410670,BOND,DELISTED,VND122013 - Bond,VND122013 - Bond,VND122013 - Trái phiếu,VND122013 - Trái phiếu
94,VND122012,11410492,BOND,DELISTED,VND122012 - Bond,VND122012 - Bond,VND122012 - Trái phiếu,VND122012 - Trái phiếu
95,VND,8425030,STOCK,HSX,VNDIRECT Securities Corporation,VNDIRECT,Chứng khoán VNDIRECT,Công ty Cổ phần Chứng khoán VNDIRECT
96,VNC,8425967,STOCK,HNX,Vinacontrol Group Corporation,Vinacontrol,VINACONTROL,Công ty Cổ phần Tập đoàn Vinacontrol
97,VNB,8426114,STOCK,UPCOM,Vietnam Books Joint Stock Company,Vietnam Books,Sách Việt Nam,Công ty Cổ phần Sách Việt Nam
98,VNA,8425241,STOCK,UPCOM,Vinaship Joint Stock Company,Vinaship,Vận tải biển Vinaship,Công ty Cổ phần Vận tải biển Vinaship
99,VN30F2506,14285021,FU,HNX,VN30F2506 - Future contract,VN30F2506 - Future contract,VN30F2506 - HĐTL,VN30F2506 - HĐTL
100,VN30F2503,13934037,FU,HNX,VN30F2503 - Future contract,VN30F2503 - Future contract,VN30F2503 - HĐTL,VN30F2503 - HĐTL
